disease_name,host_role_bucket,host_role_evidence_basis,modelling_role_proxy_confidence,modelling_role_proxy_needs_review,rows
Argentine hemorrhagic fever,host_presence_only,candidate_only,low,TRUE,7
Argentine hemorrhagic fever,dead_end_or_incidental_host,exact_source_backed,high,FALSE,1
Argentine hemorrhagic fever,reservoir_or_amplifying_host,exact_reviewed_needs_review,low,TRUE,1
Argentine hemorrhagic fever,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
Borna disease (encephalitis),host_presence_only,candidate_only,low,TRUE,23
Chikungunya fever,host_presence_only,candidate_only,low,TRUE,27
Chikungunya fever,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,2
Chikungunya fever,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
Crimean-Congo hemorrhagic fever,host_presence_only,candidate_only,low,TRUE,28
Crimean-Congo hemorrhagic fever,susceptible_or_spillover_host,disease_group_proxy,low,TRUE,22
Crimean-Congo hemorrhagic fever,reservoir_or_amplifying_host,disease_group_proxy,medium,TRUE,6
Crimean-Congo hemorrhagic fever,dead_end_or_incidental_host,exact_source_backed,high,FALSE,1
Crimean-Congo hemorrhagic fever,susceptible_or_spillover_host,exact_source_backed,medium,TRUE,1
Dengue,host_presence_only,candidate_only,low,TRUE,52
Dengue,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
Ebola virus disease,host_presence_only,candidate_only,low,TRUE,13
Ebola virus disease,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,3
Ebola virus disease,susceptible_or_spillover_host,exact_source_backed,medium,TRUE,2
Ebola virus disease,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
Hantavirus pulmonary syndrome,host_presence_only,candidate_only,low,TRUE,18
Hantavirus pulmonary syndrome,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,7
Hantavirus pulmonary syndrome,dead_end_or_incidental_host,exact_source_backed,high,FALSE,1
Hantavirus pulmonary syndrome,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
Hantavirus pulmonary syndrome,reservoir_or_amplifying_host,exact_source_backed,high,TRUE,1
Hemorrhagic fever with renal syndrome (Hantaan virus),host_presence_only,candidate_only,low,TRUE,27
Hemorrhagic fever with renal syndrome (Hantaan virus),dead_end_or_incidental_host,exact_source_backed,high,FALSE,1
Hemorrhagic fever with renal syndrome (Hantaan virus),reservoir_or_amplifying_host,exact_reviewed_needs_review,medium,TRUE,1
Hemorrhagic fever with renal syndrome (Hantaan virus),reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
Hendra,host_presence_only,candidate_only,low,TRUE,9
Hendra,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,2
Hendra,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,2
Hendra,dead_end_or_incidental_host,exact_source_backed,high,FALSE,1
Hendra,dead_end_or_incidental_host,exact_source_backed,medium,TRUE,1
Hepatitis E,host_presence_only,candidate_only,low,TRUE,63
Hepatitis E,susceptible_or_spillover_host,exact_source_backed,medium,TRUE,5
Hepatitis E,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,3
Hepatitis E,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,2
Hepatitis E,dead_end_or_incidental_host,exact_source_backed,medium,TRUE,1
Influenza (H5N1 avian influenza),host_presence_only,disease_group_proxy,low,TRUE,229
Influenza (H5N1 avian influenza),reservoir_or_amplifying_host,disease_group_proxy,medium,TRUE,201
Influenza (H5N1 avian influenza),susceptible_or_spillover_host,disease_group_proxy,low,TRUE,125
Influenza (H5N1 avian influenza),susceptible_or_spillover_host,exact_source_backed,medium,TRUE,2
Influenza (H5N1 avian influenza),dead_end_or_incidental_host,exact_source_backed,high,FALSE,1
Influenza (H5N1 avian influenza),reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,1
Influenza (H7N9 avian influenza),host_presence_only,disease_group_proxy,low,TRUE,229
Influenza (H7N9 avian influenza),reservoir_or_amplifying_host,disease_group_proxy,medium,TRUE,201
Influenza (H7N9 avian influenza),susceptible_or_spillover_host,disease_group_proxy,low,TRUE,126
Influenza (H7N9 avian influenza),reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,2
Influenza (H7N9 avian influenza),dead_end_or_incidental_host,exact_source_backed,high,FALSE,1
Lassa fever,host_presence_only,candidate_only,low,TRUE,16
Lassa fever,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,3
Lassa fever,reservoir_or_amplifying_host,exact_reviewed_needs_review,medium,TRUE,1
Lassa fever,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
Lujo hemorrhagic fever,host_presence_only,candidate_only,low,TRUE,1
Marburg virus disease,host_presence_only,candidate_only,low,TRUE,9
Marburg virus disease,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,2
Marburg virus disease,dead_end_or_incidental_host,exact_source_backed,medium,TRUE,1
Mpox (Monkeypox),host_presence_only,candidate_only,low,TRUE,36
Mpox (Monkeypox),reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
Mpox (Monkeypox),reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,1
Mpox (Monkeypox),susceptible_or_spillover_host,exact_source_backed,medium,TRUE,1
Nipah virus disease,host_presence_only,candidate_only,low,TRUE,28
Nipah virus disease,reservoir_or_amplifying_host,exact_source_backed,high,TRUE,2
Nipah virus disease,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,2
Nipah virus disease,reservoir_or_amplifying_host,exact_reviewed_needs_review,medium,TRUE,1
Nipah virus disease,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
Oropouche fever,host_presence_only,candidate_only,low,TRUE,7
Oropouche fever,reservoir_or_amplifying_host,exact_reviewed_needs_review,medium,TRUE,1
Plague,reservoir_or_amplifying_host,disease_group_proxy,medium,TRUE,25
Plague,susceptible_or_spillover_host,disease_group_proxy,low,TRUE,25
Plague,dead_end_or_incidental_host,exact_source_backed,high,FALSE,1
Plague,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,1
Rift Valley fever,host_presence_only,candidate_only,low,TRUE,35
Rift Valley fever,reservoir_or_amplifying_host,exact_source_backed,high,TRUE,2
Rift Valley fever,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,2
Rift Valley fever,dead_end_or_incidental_host,exact_source_backed,high,FALSE,1
Rift Valley fever,susceptible_or_spillover_host,exact_source_backed,medium,TRUE,1
Severe fever with thrombocytopenia syndrome (SFTS),host_presence_only,candidate_only,low,TRUE,35
Severe fever with thrombocytopenia syndrome (SFTS),reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,1
Sudan virus disease (Ebola virus disease),reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
Tick-borne encephalitis,host_presence_only,candidate_only,low,TRUE,67
Tick-borne encephalitis,reservoir_or_amplifying_host,disease_group_proxy,medium_low,TRUE,19
Tick-borne encephalitis,susceptible_or_spillover_host,exact_source_backed,medium,TRUE,3
Tick-borne encephalitis,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,2
Tick-borne encephalitis,dead_end_or_incidental_host,exact_source_backed,high,TRUE,1
Venezuelan equine encephalitis,host_presence_only,candidate_only,low,TRUE,86
Venezuelan equine encephalitis,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
West Nile fever,host_presence_only,candidate_only,low,TRUE,112
West Nile fever,reservoir_or_amplifying_host,disease_group_proxy,low,TRUE,91
West Nile fever,reservoir_or_amplifying_host,weighted_taxonomic_proxy,medium_low,TRUE,53
West Nile fever,reservoir_or_amplifying_host,weighted_taxonomic_proxy,medium,TRUE,15
West Nile fever,dead_end_or_incidental_host,exact_source_backed,high,FALSE,2
West Nile fever,reservoir_or_amplifying_host,exact_source_backed,medium,TRUE,1
Yellow fever,reservoir_or_amplifying_host,disease_group_proxy,medium_low,TRUE,52
Yellow fever,host_presence_only,candidate_only,low,TRUE,20
Yellow fever,reservoir_or_amplifying_host,exact_source_backed,medium,FALSE,1
Zika virus disease,host_presence_only,candidate_only,low,TRUE,13
Zika virus disease,reservoir_or_amplifying_host,disease_group_proxy,medium_low,TRUE,7
Zika virus disease,reservoir_or_amplifying_host,exact_source_backed,high,FALSE,1
